Product,Issue,Sub-issue,Consumer complaint narrative
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Vehicle loan or lease,Struggling to pay your loan,Denied request to lower payments,"In XX/XX/year>XXXX my active-duty husband was sent to California for a 6- to 7-month training course. At the time, I was unemployed, and all of our money went into relocating from Oregon to California. I contacted Western Funding in XX/XX/year> to request a payment extension to avoid losing my car, which is essential for my daily life. Instead of extending the payment, the representative said they would change my payment due date. I did not request this specific change, but they proceeded with it anyway. 

A few months later, I called again to request that my due date be moved to the 15th of the month since my husband, being in the military, is paid on the 1st and the 15th. Our rent is covered by the 1st paycheck, and bills are handled with the 15th paycheck. However, I was informed that my account had already reached the limit of two due date changes, even though I had only requested one changethe other was done without my consent. 

For the past year, I have repeatedly asked Western Funding to adjust my due date to the 15th to avoid late fees, but they have refused. As a result, Ive accrued {$58.00} in late fees despite consistently paying my car payment between the 11th and 15th, depending on when my paycheck clears. I am a reliable customer who makes payments every month, yet their refusal to adjust my due date feels unethical, as it seems they prefer to collect additional money through late fees. 

Additionally, there is an error in how they are reporting to the credit bureaus. My credit report reflects an extra {$16.00} added to my balance, even though I am making my payments each month. 

Ive also attempted to speak with a supervisor multiple times, but I am consistently told that no one is available. This has made resolving the issue even more difficult. I believe these practices are unfair and would appreciate having my concerns addressed."
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"I understand the importance of removing any incorrect accounts from my credit report in accordance with FCRA 605B. Could you please take a look at the documents? I've observed that some of the listed accounts seem to be inaccurate, which is worrying to me."
"Payday loan, title loan, personal loan, or advance loan",Struggling to pay your loan,None,For the past half year I have been getting charges on my bank account unaware of what it was. I was going through financial hardship due to this. I thought it was something my fiancee was paying for but I figured out that's not true. I'm trying to submit that all of these personal loans on my credit are not mine. They are fraud. I never approved any loans whatsoever. I am seeing if my family members were up to this as they have all of my information at hand. I really don't need these loans on my credit due to me trying to get a house. They aren't even mine to begin with as I had no knowledge about them whatsoever.
Debt collection,Electronic communications,Frequent or repeated messages,"Jefferson Capital , LLC is trying to collect a {$1100.00} debt that was sold to them by another company. I recently requested proof of debt validation from them. Below attached is a copy."
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,
Debt collection,False statements or representation,Attempted to collect wrong amount,
Debt collection,False statements or representation,Attempted to collect wrong amount,
Vehicle loan or lease,Repossession,Deficiency balance after repossession,"United auto credit refuse to provide me with 1099C Form cancelation of debt after reposession, charged off/written off asccount name UNITED AUTO CREDIT Account number XXXX Account type Auto Loan Responsibility Individual Date opened XX/XX/XXXX Status Account charged off. {$9.00}, XXXX written off. {$10.00}, XXXX past due as of XX/XX/XXXX. 
Status updated XX/XX/XXXX Balance {$10000.00} Balance updated XX/XX/XXXX Recent payment - Monthly payment - Original balance {$19000.00} Highest balance - Terms 1 Months On record until XX/XX/XXXX loss."
Vehicle loan or lease,Incorrect information on your report,Old information reappears or never goes away,"XXXX : SANTANDER CONSUMER USA Date open : XX/XX/XXXX Account status : close Balance : {$24000.00} Account : XXXX Illegal debt collection XXXX XXXX XXXX XXXX Account status : collection Balance : {$12000.00} Account : XXXX NOTICE TO AGENT IS NOTICE TO PRINCIPAL AND NOTICE TO PRINCIPAL IS NOTICE TO AGENT To Whom It May Concern : I recently received a copy of my credit report and I noticed some account on my consumer report that should not be on there. I demand this account be deleted from my consumer report immediately. 

The reporting of these account ( s ) is/are violations of 15 USC 1681a , The Fair Credit Reporting Act [ 15 USC 1681 ( a ) ( 2 ) ( B ) ] : ( 2 ) EXCLUSIONS.Except as provided in paragraph ( 3 ), the term consumer report does not include ( B ) any authorization or approval of a specific extension of credit directly or indirectly by the issuer of a credit card or similar device ; So let me explain. Under the Truth in Lending Act 15 USC 1602 ( g ), credit card is defined as the following : The term credit card means any card, plate, coupon book or other credit device existing for the purpose of obtaining money, property, labor, or services on credit. 
This makes my social security card, drivers license/ID, and license plate credit cards that are/were used for the extension of credit. 
. 
I have recently come across inform from the Federal trade Commission ( FTC ) more specifically the GrammLeachBliley Act 15 usc 6802 obligations with respect to disclosures of personal information ( a ) NOTICE REQUIREMENTS Except as otherwise provided in this subchapter, a financial institution may not, directly or through any affiliate, disclose to a nonaffiliated third party any nonpublic personal information, unless such financial institution provides or has provided to the consumer a notice that complies with section 6803 of this title.

( b ) OPT OUT ( 1 ) IN GENERAL A financial institution may not disclose nonpublic personal information to a nonaffiliated third party unless ( A ) such financial institution clearly and conspicuously discloses to the consumer, in writing or in electronic form or other form permitted by the regulations prescribed under section 6804 of this title, that such information may be disclosed to such third party ; ( B ) the consumer is given the opportunity, before the time that such information is initially disclosed, to direct that such information not be disclosed to such third party ; and ( C ) the consumer is given an explanation of how the consumer can exercise that nondisclosure option. 

SANTANDER CONSUMER USA did not disclose this information to me that is required by federal law. 
SANTANDER CONSUMER USA knowingly and willfully withheld pertinent information regarding the disclosure of my information to affiliated and non-affiliated third parties. 

The above is talking about furnishing items to a consumer report. There are three notices that were supposed to be given and have to be clear as day. 
XXXX, XXXX, XXXX and XXXX are not affiliates of the original creditor nor are they "" bureaus. The only true credit bureau is the CFPB and they DO NOT furnish consumer reports as stated in federal law. I have a right to privacy and Per the Privacy Act of XXXX as a federally protected consumer I am now revoking any and all authorization I the consumer may have given the original creditor, non written, verbal, and nonverbal per 5 U.S. Code 552a. Selling my nonpublic personal information is against federal law. The only way information can be shared is by common ownership or control. 

15 U.S. Code 6809 - Definitions ( 5 ) Nonaffiliated third party The term nonaffiliated third party means any entity that is not an affiliate of, or related by common ownership or affiliated by corporate control with, the financial institution, but does not include a joint employee of such institution. 

SANTANDER CONSUMER USA knowingly and willfully withheld information that explained how I the consumer can exercise that nondisclosure option. 
SANTANDER CONSUMER USA sold my nonpublic personal information to a debt collector company XXXX XXXX XXXX XXXX. 

15 U.S. Code 1692e ( 12 ) - False or misleading representations ( 12 ) The false representation or implication that accounts have been turned over to innocent purchasers for value.

18 U.S.C. 1028A Simply stated, aggravated identity theft occurs when someone knowingly transfers, possesses, or uses without permission, identification of another person, and then uses that identification during and/or in relation to the act of a particular felony violation."
Debt collection,Written notification about debt,Didn't receive notice of right to dispute,
Mortgage,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,False statements or representation,Attempted to collect wrong amount,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Al XXXX XXXX XXXX Holloway Credit Solutions XXXX XXXX XXXX XXXX XXXX XXXX, Al XXXX Subject : Dispute of Debt for Account Dear Holloway Credit Solutions, I am writing to formally dispute the validity of the debt you have reported under my name for XXXX XXXX. Under the Fair Debt Collection Practices Act ( FDCPA ), I am requesting validation of this debt to ensure its accuracy and legitimacy. 

To assist in resolving this matter, please provide : 1.Verification of the original creditor, including detailed statements or records supporting the debt.

2.Documentation proving that this debt was incurred by me.

3.Any written agreements or contracts signed by me that authorize the claimed debt amount.

I also request that you cease reporting this account as a charge-off until the debt has been validated, as I believe this may be an error. If you are unable to provide proper validation, I respectfully request that you remove this account from my credit report and confirm this in writing. 

Please note that under federal law, you have 30 days from receipt of this letter to provide the requested documentation. Failure to do so may result in my filing a complaint with the Consumer Financial Protection Bureau ( CFPB ) or other appropriate authorities. 

Thank you for your prompt attention to this matter. I look forward to receiving the requested information to clarify the validity of this account. Please send your response to the address provided above. 

Sincerely, XXXX XXXX"
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,False statements or representation,Attempted to collect wrong amount,
Debt or credit management,Didn't provide services promised,None,
Mortgage,Trouble during payment process,Lien release,I have been paying on a morage that should have been dismissed when the morage holder died
Credit card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"Citi credit card allowed an unauthorized purchase on my LOCKED credit card last month. After Citi refused to do the right thing, I cancelled my card to make sure this could not happen again. Well today Citi allowed this same merchant to charge my account again, this time with the CANCELLED CREDIT CARD. They are once again refusing to remove the charge. THIS IS FRAUD."
Debt collection,Attempts to collect debt not owed,Debt is not yours,"On XX/XX/XXXX, I entered an agreement with XXXX XXXXXXXX XXXX XXXXXXXX ( services obtained from XXXX XXXX XXXX ) located at XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX  contact number XXXX for a shower remodel at my residence for the price of {$12000.00}. The agreement was a pre printed yellow form of a contract. Prior to the execution of the contract, XXXX XXXX asked me for my social security number to ensure financing for the project. They failed to explain to me the cancellation policy or the financing rules and regulations, it was only confirmed that the loan application ( XXXX XXXXXXXX ) was approved by Momnt located at XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXXXXXX. I went through the next few months after signing the agreement without any communication from XXXX XXXXXXXX XXXX  XXXX. I reached out to XXXX at XXXX XXXX XXXX and XXXX at XXXX XXXX XXXX every week multiple times inquiring when will the installation of my shower be installed and I kept receiving the runaround ( responses such as the vendor lost the materials so we have to start the order all over again ) during each call that I made. XXXX XXXX XXXX XXXXXXXX never contacted me ( via email or phone ) and eventually, they stopped answering my calls and I left numerous voicemail messages on both numbers listed above asking for a returned phone call. 

I contacted Momnt, around XX/XX/XXXX informing them that XXXX XXXXXXXX XXXX XXXXXXXX has stopped communicating with me therefore leaving me without a remodeled shower installation & I was told by Momnt that they will have to conduct an investigation. According to the FCRA it is the company responsibility to follow up regarding this contract as a consumer. Both XXXX XXXX XXXX XXXX and Momnt violated me as the consumer, 15 U.A. code 1681ab permissible purposes of consumer reports. No one sent me documentation regarding the loan and no services were rendered-12 CFR Part 1022 ( Fair Credit Reporting ) along with 16 CFR 433 A and B ( Preservation of consumers ' claims and defenses, unfair or deceptive acts or practices. ) I repeatedly asked numerous times of copies of documentation with my wet ink signature at which XXXX XXXX XXXX XXXXXXXX nor Momnt failed to provide me. As a consumer ( myself ) these documents were supposed to have been provided. 

Momnt sent me an email recently as of XX/XX/XXXX stating that "" we placed a provisional credit on your account while we investigated an issue related to your account and/or your merchant.Our review is complete, and we have determined that the provisional credit should be removed from your account and the loan should be placed in active status in 30 days. '' However, when I called XXXX that same day to inquire about the investigation they had conducted since XXXX, I was told that they can not disclose the information to me. I requested for the loan to be removed from my name, financial and credit records-15 U.S. code 6802 Nonpublic personal information Obligations with respect to disclosure of personal information. Neither company can provide documentation that i am soley responsible for services that i did not receive. My request made was disregarded as then I asked to speak to a manager and was told that they don't have any managers to speak with about this matter. I was told that I'm stuck with the loan and that, I need to start making payments as soon as possible. 

As of today, XXXX XXXX XXXX XXXXXXXX have not reponded to any of my complaints. I have been harassed by Momnt via emails every month reminding me of payments that needed to be made prior them completing their so called investigation. I am devastated that I've been waiting over a year for a brand new shower that was never installed. The mental anguish of going through this process had been overwhelming, stressful and uncomprehensible. Under the circumstances, this loan should have already been removed from my financial and credit records several months ago and their lack of responsiveness, unprofessionalism and accountability have violated several standards. We will discuss credit report violations, compensation and removing this from my credit report. Please assist in taking action with whatever means that are available. 

Much Regards, XXXX XXXX"
Debt collection,False statements or representation,Attempted to collect wrong amount,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Debt collection,Attempts to collect debt not owed,Debt is not yours,"I am disputing a collection account from IQ Data International , Inc., related to my former residence at XXXXXXXX XXXX XXXX ( XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  ). This account is inaccurate for several reasons : Court Agreement : Per a court stipulation dated XX/XX/year>, all monetary demands in the original complaint were settled and waived. The agreement explicitly states that monetary claims were resolved and reserved for potential future suits, which were not pursued. The collection violates this agreement. 

Debt Validation : I have requested debt validation from IQ Data on XXXX separate occasions. Despite their assurances on recorded phone calls, I have not received any documentation to substantiate their claims. 

Misreporting Delinquency Date : The reported First Date of Delinquency is XX/XX/year>. However, my move-out date was XX/XX/year>, per the court order. Reporting delinquency before the move-out date is factually incorrect. 

XXXX XXXX XXXX : This was a joint lease agreement, but the collection account has been reported under my name alone as an individual debt. This misclassification prevents the other leaseholder from being held equally accountable. 

Failure to Provide Final Bill : No final billing statement, debt validation or itemized breakdown of charges has been provided, violating XXXX Civil Code Section XXXX. 

I respectfully request that the Consumer Financial Protection Bureau investigate this matter and ensure IQ Data International ceases all reporting to credit bureaus and removes the inaccurate collection account from my report."
Credit card,Getting a credit card,Delay in processing application,
"Payday loan, title loan, personal loan, or advance loan",Struggling to pay your loan,None,"I am writing to report a series of serious incidents involving predatory lending, financial misconduct, and possibleidentity theft perpetrated by Title Max.I am deeply concerned about the potential impact of these actions on vulnerable individuals, particularly veterans. 

My Circumstances : Please note that while I have relocated, my current accommodations are temporary. I am a legally registered homeless person. This situation highlights the vulnerability of veterans, who may be particularly susceptible to financial exploitation due to factors such as XXXX XXXX XXXX, XXXX XXXX XXXX, and XXXX XXXX XXXX. 

Detailed Incident Descriptions Title XXXX Incident ( XX/XX/year> ) : Title Max loan officer refused to return my vehicle title after an initial consultation for a {$25000.00} loan with monthly repayments of {$2000.00} leaving me alone in the parking lot of the loan office after it closed with no title to my vehicle. 
The loan officer physically withheld my personal property to coerce me into a loan agreement. 
I was prevented from voluntarily withdrawing from the loan process. 

Unauthorized Financial Access and Fraud : Fraudulent charges were made to a XXXX Dating Site. 
Unauthorized cell phone devices were synced to my online banking. 
Attempted fraudulent charges were made to Rideshare Companies. 
Unauthorized XXXX account debits were initiated. 
The first fraudulent charge at XXXX  XXXX XXXX occurred on XX/XX/year>. 

Solicitation of XXXX XXXX : The loan officer repeatedly suggested receiving a cash tip.

The loan officer offered a "" good interest rate '' in exchange for a cash payment. 

XXXX XXXX and XXXX ( XXXX hours later ) : Another loan officer physically blocked me from leaving the premises.

The loan officer demanded that I download a specific app, provide email referrals, and share emergency contact information.

The loan officer used physical positioning to restrict my movement. 

Requested Actions : Full investigation of identity theft and unauthorized financial access Financial restitution for all fraudulent charges Compensation for emotional and financial distress Cessation of harassment and repossession attempts Investigation of bribery and unethical loan practices Enforcement of consumer protection laws to prevent future harm to veterans and other vulnerable individuals I believe that Title Max 's actions constitute predatory lending, financial misconduct, and identity theft. These practices are particularly harmful to veterans, who may be more susceptible to exploitation due to their unique circumstances. I urge your agency to take immediate action to investigate these allegations and hold Title Max accountable for its wrongdoing. 

Thank you for your attention to this matter. 

Sincerely, XXXX"
Vehicle loan or lease,Getting a loan or lease,Loan opened without my consent or knowledge,I submitted a police report also a ftc report and to all 3 credit bureaus they told me they will submit it to the debt collectors I also submit my self to the debt collectors they completed the dispute and said it will remain on my credit report even after I explained I spoke to XXXX XXXX XXXX but I cant get in contact with westlake which is the other debt collector they refuse to remove it but I cant get anyone on the phone they also sold my debt twice! And gave me other numbers to call because they told me they dont own it anymore! XXXX XXXX XXXX still say they will remain on my credit as well
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Credit card,Getting a credit card,Application denied,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,
Credit card,Getting a credit card,Sent card you never applied for,
Debt collection,False statements or representation,Attempted to collect wrong amount,"XXXX, Harris & Harris-collects for XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  Reply STOP to stop This text has been sent to me twice. Most recently, XXXX XXXX and also about 2 weeks earlier. I have not clicked on any links nor have I called the company. I know this is a scam because I never traveled the XXXX XXXX, ever. There was no car license plate or home address provided, and I never received a bill in the mail from the XXXX XXXX or this "" debt collector ''."
Student loan,Dealing with your lender or servicer,Keep getting calls about your loan,"Log in Sign up You said : please rewrite this note, for clarity, thank you. This complaint is concerning XXXX  and Mohela 's loan services for my student loans. The continuous frequent phone calls have caused me to feel traumatized as a senior.

I am making this complaint that is pertain to the constant calls I receive daily even though I have made a forbearing agreement with them. I have spoken to representatives from XXXX  and Mohela to please stop calling me. However, that was ignored, and the calls continues even though my account has been transferred to Mohela. Despite my account being approved for bearing status, I received an email requesting payment. I have made it very clear to contact me by mail or by regular mail and not by phone, but that request is not being followed.

Whenever I talk to them, I am subjected to harassment and pressure to make payments. Additionally, they do not examine the account to check if I had previously communicated with them to check my account 's status. It seems that their only objective is to persist with phone calls and disregard the status of the account. I have also made several attempt to go to the website and I was denied accesses.

They have been told about my situation, which includes not working and not receiving any Social Security benefits. After asking for a forbearance and sending a money order to process it for three months, my request was approved. The representative took note of my account and requested that I call back in 3 months if I am unable to work to ask for another forbearing. I ask to send me a copy by mail, but I never received it. Whenever a representative calls, they seem to lack knowledge about the status of my account and that it is currently in a forbearing state. I have no idea how to deal with the continuous phone calls. I've asked for them to review my account and discontinue the number of representatives calling me, which starts early in the XXXX  before XXXXXXXX XXXX but it continues and I'm uncertain what to do. 
After my XXXX XXXX church service, XXXX and XXXX I was contacted by XXXX of XXXX  via voicemail at XXXX. Which said I need to contact a counselor to make payment arrangements. I have submitted my number to the do not call. Gov website list today with the hope this call persistent will stop. However, they have disregarded my request and continuously calling. Please advise what is the best way for me to approach this issue, thank you.

Subject : Complaint Regarding Unwanted and Harassing Calls from XXXX  and Mohela and disregarding the forbearance agreement To Whom It May Concern, I am writing to file a formal complaint regarding the ongoing harassment and unwanted phone calls I have been receiving from XXXX  and Mohela concerning my student loans. As a senior, these frequent calls have caused me significant distress, and despite my repeated requests to stop, they continue. I received a letter in XXXX that my loans would be services by Mohela and yet XXXX  continuously calling me as well as Mohela. I have told them both to stop calling, but it persist.

I have already made a forbearance agreement with XXXX, and my account is currently in forbearance status. In XXXX, it has to be renewed by me sending XXXX XXXX dollars to re establish the forbearance. However, I continue to receive daily phone calls, even though my account has been transferred to Mohela. Despite informing their representatives that I only wish to be contacted by mail, my requests have been ignored, and the calls persist.

Additionally, I received an email from them requesting a payment, which is confusing since my forbearance status has been approved. When I speak to representatives, I am often subjected to pressure and harassment to make payments, even though they fail to check the status of my account or acknowledge my previous communications. It seems that their only focus is making phone calls, regardless of the current status of my account.

I have also tried to access my account online through the website but have been denied access multiple times. Ive communicated my financial situation, including not working and not receiving Social Security benefits. After submitting a money order for a forbearance request, I was told to call back in three months if I am still unable to work. However, I never received a written confirmation of this agreement, even though I specifically requested it.

Despite my account being in forbearance, I continue to receive calls from XXXX  and Mohela representatives who appear to have no knowledge of the forbearance status. The calls start as early as XXXX a.m., and I am unable to stop them. On Sunday mornings, XX/XX/year> and XX/XX/year>, I received voicemails from XXXX at XXXX  ( phone number XXXX ), stating that I need to contact a counselor to make payment arrangements. 

I have already registered my number with the DoNotCall.gov website, but the calls have not stopped. I am at a loss for how to handle this ongoing situation and am seeking your advice on the best course of action. 

Thank you for your attention to this matter. I look forward to your prompt response."
Credit card,Problem when making payments,Problem during payment process,
Vehicle loan or lease,Repossession,Loan balance remaining after the vehicle is repossessed and sold,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Mortgage,Applying for a mortgage or refinancing an existing mortgage,Delays in the application process,"This complaint addresses many, many issues. Too many to try and list everything. Summary : The VA allows lenders 45 days to process loans. I am now on day XXXX. We signed a contract in late XXXX. The assumption pkg was delivered on or about XX/XX/XXXX. Since then, I've been asked for some documents multiple times after having sent them each time. Only a week or so ago was an Escalation Manager was assigned. After multiple attempts to find a way to reach this person other than the department email address, I did receive a call. I told her that months ago I was told one had been assigned. She could find no record of that. She also could not find the documents I sent a week prior scanned into their system. I sent them again. Those were the same documents requested and provided four times prior. During this process, starting approximately 2 weeks into it, I would ask to speak to someone assigned to the assumption so that we could communicate more frequently. Even though I made that request multiple times, nobody in the Assumption Department would even acknowledge they received that request. ( For that matter, I've left three voicemails just this week for that Escalation Manager with no response. ) Most often, after delivering the documents I would just get an email ( a week later ) saying the documents have been sent to the VA for their underwriters to review. The VA doesn't have underwriters ... they are internal to PHH. I even called them out on that ( having been a VA and FHA underwriter many years ago, and it didn't change their answer ). Again and again they would wait several days after I send, or resend, the requested documents before telling me, again, that they have been sent to VA 's 'government underwriters '. As example : A couple of weeks after responding to a request, I asked via email if there were any further questions from the underwriter and they said they are still waiting on me to send the requested documents ( the same one 's I had provided multiple times ). That, across multiple occasions, has added a month to the process. The initial assumption packet asked for a Credit Report fee of {$19.00}. Two weeks after sending that check I was told they hadn't received the checks. I provided a tracking number documenting receipt by PHH. They then informed me that {$19.00} isn't the correct amount anyway. The didn't seem too concerned that their initial welcome packet was incorrectly stating required upfront fees. That next day I overnighted the new undocumented amount. To this day that check has not cleared my bank. The original check was returned a month after it was received by someone at PHH with a note there wasn't sufficient information to know what it was for. Even thought I had the property address in the note. The last request for additional documents was the XXXX of XXXX. It is now the XXXX and no reply has been received from PHH. As a 100 % XXXX veteran, this has been probably more stressful than it should be. I feel lost and forgotten. Nobody at PHH seems to care. If they do, they haven't bothered to say anything to me. The sellers ( note holders ) signed an authorization document allowing PHH to speak to me about the loan process early in this endeavor. So that's not a valid reason, if given. I've lost three buyers for my home during this time. I've afraid to list it again until this is finally resolved. Which, of course means that I'll have two mortgage payments until mine sells and closes. VA XXXX and Social Security retirement dollars are not near enough to sustain that for long."
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Attempts to collect debt not owed,Debt was paid,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"I understand the importance of removing any incorrect accounts from my credit report in accordance with FCRA 605B. Could you please take a look at the documents? I've observed that some of the listed accounts seem to be inaccurate, which is worrying to me."
Credit card,Incorrect information on your report,Account status incorrect,
Debt collection,False statements or representation,Attempted to collect wrong amount,"I mailed two validation letters to the company Credence Resource Management. First letter was mailed XX/XX/year> and the second letter was mailed XX/XX/year> and both letters were returned due to wrong address from debt collector. Attached in tracking information for both letters. The company is also trying to collect the wrong amount for the account so that is why I requested the validation letter but unable to communicate with them. On the credit report they have the wrong address listed which is the one I used for the first letter. On the second letter, I googled the address and called the number to collect correct address which provided a GA address but now the second letter was also returned due to wrong address unknown."
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Credit card,Incorrect information on your report,Account status incorrect,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Credit card,"Other features, terms, or problems",Problem with balance transfer,
Debt collection,Attempts to collect debt not owed,Debt was paid,"COLLECTION MANAGEMENT XXXX XXXX XXXX XXXX XXXX XXXX, PA XXXX ( XXXX ) XXXX Company has tried to receive collections from medical incident from years ago that was covered by insurance through an auto accident. Other person involved in accident had insurance cover for my medical but I cant find receipt nor will company locate it for me."
Credit card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"From XXXX XXXX I went to XXXX XXXX for my birthday when we landed back on the XXXX at XXXX XXXX XXXX XXXX I was waiting for my bags and checking my credit card statements when I noticed some fraudulent charges called my credit card company immediately canceled the card and put the charges in as fraud. Now here, a couple months down the road they sent me a letter saying they determine it wasnt fraud and charged me for it ive done everything I could talk to supervisors reopen the case. The bank basically told me Im XXXX  The charge was made in Texas while I was in XXXX XXXX digitally I showed them I was in XXXX XXXX and they still wouldnt help me. The crazy part is there was another charge from the merchant that they caught and didnt let go through, but then they let this other charge go through and wont give me the money back."
Credit card,Credit monitoring or identity theft protection services,Billing dispute for services,"In XXXX I discovered that my identity had been stolen and that fraud had been committed in my name with the AMERICAN EXPRESS identity card, someone obtained a {$6000.00} card with my name on it, from that moment on I began to communicate with them about what was happening, but AMERICAN EXPRESS now tells me that I have to pay the debt because payments have been made from a XXXX account, but I have never had accounts at XXXX, and they won't show me what the investigation shows, I myself went to a XXXX branch to confirm that I do not have accounts with XXXX, but American Express won't give me a solution, they are wrong but I want them to show me the payments that were made because I never requested or made payments to American Express.I ask for your cooperation because I have already tried to dispute with the credit bureaus and I thought it was resolved, but today I received this letter from AMERICAN EXPRESS and I feel that they only want me to pay something that I never requested.Thank you"
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,False statements or representation,Attempted to collect wrong amount,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"I understand the importance of removing any incorrect accounts from my credit report in accordance with FCRA 605B. Could you please take a look at the documents? I've observed that some of the listed accounts seem to be inaccurate, which is worrying to me."
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Debt collection,Took or threatened to take negative or legal action,Threatened to sue you for very old debt,"I am writing about an unresolved issue that I have with XXXX cash loans. They are currently contacting me via XXXX XXXX firm, and It was brought to my attention that XXXX being sued for missed payments with interest included, totaling {$XXXX}. I have tried on numerous occasions to get a settlement before court and I am getting nothing but the run around. They are not being very helpful or understanding of my situation. I received the loan amount of {$XXXX} on XX/XX/XXXX, and my first automatic withdrawal for the amount of {$XXXX} was successful. On XX/XX/XXXX, I was let go from my job, and my check was held for administrative purposes. With the interest rate at XXXX  %, and was struggling to make timely payments. I reached out to XXXX loan to explain my situation and to see if we could work something out for the remaining balance. By XXXX of XXXX, I was XXXX  months behind on rent, and car payments and was struggling to stay on top of my utility payments. At this time I was facing extreme financial hardship and thought I was doing the right thing by explaining my situation. Also during this time I was taking care of my grandparents who both suffered from XXXX  XXXX. Currently my grandmother needs full supportive and personal cares now with her battle with XXXX XXXX and my grandfather has XXXX  XXXX or XXXX  times a week and has trouble doing things around the house. As the burden has swiftly switched to my responsibility, even with a new job, XXXX often using our last to take care of the household. I called American cash loans the after being served court papers, explaining my situation and they told my they cant do anything for me but provide my pay off amount. When I ask to settle I was referred to this number ( XXXX ) XXXX. I then gave them a call, and the representative stated that he cant help at this point because the account has been referred to XXXX. He then provided me with XXXX numbers : ( XXXX ) XXXX and ( XXXX ) XXXX. Ive since left voicemails, and sent a email to XXXX. I received a response from XXXX asking for all my financial info so they can garnish my checks. Before the court date roughly around XXXX, XXXX ( court date XX/XX/XXXX ) I contacted XXXX to get on a payment plan which they agreed to me paying {$XXXX} I believe the XXXX of each month until same time next year, which would equal to me paying {$XXXX} in total! I feel like this is very unreasonable, and complete usury considering that the interest rate is predatory and I have tried to get ahead of this by explaining my situation multiple times to XXXX loans. Even with explaining my situation to XXXX, they totally disregarded what I said I can afford and could settle for during this time of extreme hardship for my family. 

Out of the {$XXXX} loan I owe {$XXXX} without the interest. I offered to settle the debt with {$XXXX} cash before it got to court. XXXX even on a payment plan with XXXX since XX/XX/XXXX and have paid at least {$XXXX} back on the loan. I can no longer afford this and this is complete usury. My purpose for writing is in hopes that I can settle this debt and move forward and continue providing for my grandparents, and preparing for what XXXX come from their illnesses. I have no support system and im learning new things everyday. I truthfully regret taking a loan with this interest rate, but look to this experience as a learning experience. I have dreams and aspirations as most Americans do, to be debt free, and to XXXX day own a home. Please help me with my issue with this loan company."
